Table,Column
dimaccount,ValueType
dimaccount,ParentAccountCodeAlternateKey
dimaccount,AccountType
dimaccount,AccountCodeAlternateKey
dimaccount,AccountKey
dimaccount,Operator
dimaccount,CustomMembers
dimaccount,ParentAccountKey
dimaccount,CustomMemberOptions
dimaccount,AccountDescription
dimaccount.csv,AccountCodeAlternateKey
dimaccount.csv,CustomMembers
dimaccount.csv,ValueType
dimaccount.csv,AccountDescription
dimaccount.csv,CustomMemberOptions
dimaccount.csv,ParentAccountCodeAlternateKey
dimaccount.csv,Operator
dimaccount.csv,AccountKey
dimaccount.csv,ParentAccountKey
dimaccount.csv,AccountType
dimcurrency,CurrencyName
dimcurrency,CurrencyKey
dimcurrency,CurrencyAlternateKey
dimcurrency.csv,CurrencyAlternateKey
dimcurrency.csv,CurrencyKey
dimcurrency.csv,CurrencyName
dimcustomer,MiddleName
dimcustomer,NumberCarsOwned
dimcustomer,BirthDate
dimcustomer,TotalChildren
dimcustomer,EnglishOccupation
dimcustomer,SpanishOccupation
dimcustomer,DateFirstPurchase
dimcustomer,FrenchEducation
dimcustomer,GeographyKey
dimcustomer,Title
dimcustomer,CommuteDistance
dimcustomer,LastName
dimcustomer,AddressLine2
dimcustomer,Phone
dimcustomer,EmailAddress
dimcustomer,CustomerKey
dimcustomer,SpanishEducation
dimcustomer,AddressLine1
dimcustomer,FrenchOccupation
dimcustomer,FirstName
dimcustomer,CustomerAlternateKey
dimcustomer,NumberChildrenAtHome
dimcustomer,HouseOwnerFlag
dimcustomer,NameStyle
dimcustomer,EnglishEducation
dimcustomer,Suffix
dimcustomer,Gender
dimcustomer,YearlyIncome
dimcustomer,MaritalStatus
dimcustomer.csv,Title
dimcustomer.csv,CustomerAlternateKey
dimcustomer.csv,LastName
dimcustomer.csv,YearlyIncome
dimcustomer.csv,MaritalStatus
dimcustomer.csv,Phone
dimcustomer.csv,TotalChildren
dimcustomer.csv,BirthDate
dimcustomer.csv,Gender
dimcustomer.csv,SpanishEducation
dimcustomer.csv,AddressLine2
dimcustomer.csv,FirstName
dimcustomer.csv,EmailAddress
dimcustomer.csv,NameStyle
dimcustomer.csv,MiddleName
dimcustomer.csv,Suffix
dimcustomer.csv,EnglishEducation
dimcustomer.csv,NumberCarsOwned
dimcustomer.csv,AddressLine1
dimcustomer.csv,NumberChildrenAtHome
dimcustomer.csv,DateFirstPurchase
dimcustomer.csv,CustomerKey
dimcustomer.csv,GeographyKey
dimcustomer.csv,FrenchOccupation
dimcustomer.csv,FrenchEducation
dimcustomer.csv,EnglishOccupation
dimcustomer.csv,CommuteDistance
dimcustomer.csv,HouseOwnerFlag
dimcustomer.csv,SpanishOccupation
dimdate,FiscalYear
dimdate,DayNumberOfMonth
dimdate,CalendarQuarter
dimdate,FiscalQuarter
dimdate,FiscalSemester
dimdate,WeekNumberOfYear
dimdate,MonthNumberOfYear
dimdate,DayNumberOfYear
dimdate,SpanishMonthName
dimdate,EnglishMonthName
dimdate,DateKey
dimdate,FrenchMonthName
dimdate,CalendarSemester
dimdate,FrenchDayNameOfWeek
dimdate,DayNumberOfWeek
dimdate,CalendarYear
dimdate,SpanishDayNameOfWeek
dimdate,FullDateAlternateKey
dimdate,EnglishDayNameOfWeek
dimdate.csv,FullDateAlternateKey
dimdate.csv,FiscalQuarter
dimdate.csv,MonthNumberOfYear
dimdate.csv,DayNumberOfMonth
dimdate.csv,EnglishMonthName
dimdate.csv,DayNumberOfWeek
dimdate.csv,DayNumberOfYear
dimdate.csv,CalendarSemester
dimdate.csv,CalendarQuarter
dimdate.csv,SpanishMonthName
dimdate.csv,FiscalYear
dimdate.csv,DateKey
dimdate.csv,FrenchDayNameOfWeek
dimdate.csv,FiscalSemester
dimdate.csv,SpanishDayNameOfWeek
dimdate.csv,FrenchMonthName
dimdate.csv,EnglishDayNameOfWeek
dimdate.csv,WeekNumberOfYear
dimdate.csv,CalendarYear
dimdepartmentgroup,ParentDepartmentGroupKey
dimdepartmentgroup,DepartmentGroupName
dimdepartmentgroup,DepartmentGroupKey
dimdepartmentgroup.csv,DepartmentGroupName
dimdepartmentgroup.csv,ParentDepartmentGroupKey
dimdepartmentgroup.csv,DepartmentGroupKey
dimemployee,VacationHours
dimemployee,StartDate
dimemployee,BirthDate
dimemployee,LastName
dimemployee,BaseRate
dimemployee,EmergencyContactPhone
dimemployee,EmployeeNationalIDAlternateKey
dimemployee,MaritalStatus
dimemployee,ParentEmployeeKey
dimemployee,SalariedFlag
dimemployee,SalesTerritoryKey
dimemployee,Phone
dimemployee,Gender
dimemployee,PayFrequency
dimemployee,MiddleName
dimemployee,EmployeeKey
dimemployee,EmergencyContactName
dimemployee,HireDate
dimemployee,SalesPersonFlag
dimemployee,FirstName
dimemployee,DepartmentName
dimemployee,EndDate
dimemployee,EmailAddress
dimemployee,LoginID
dimemployee,ParentEmployeeNationalIDAlternateKey
dimemployee,CurrentFlag
dimemployee,Status
dimemployee,EmployeePhoto
dimemployee,Title
dimemployee,SickLeaveHours
dimemployee,NameStyle
dimemployee.csv,VacationHours
dimemployee.csv,ParentEmployeeNationalIDAlternateKey
dimemployee.csv,Title
dimemployee.csv,MiddleName
dimemployee.csv,EmergencyContactName
dimemployee.csv,NameStyle
dimemployee.csv,Gender
dimemployee.csv,EmergencyContactPhone
dimemployee.csv,SalesPersonFlag
dimemployee.csv,MaritalStatus
dimemployee.csv,SalariedFlag
dimemployee.csv,EmailAddress
dimemployee.csv,LastName
dimemployee.csv,LoginID
dimemployee.csv,HireDate
dimemployee.csv,ParentEmployeeKey
dimemployee.csv,DepartmentName
dimemployee.csv,BirthDate
dimemployee.csv,EmployeeKey
dimemployee.csv,StartDate
dimemployee.csv,EndDate
dimemployee.csv,FirstName
dimemployee.csv,CurrentFlag
dimemployee.csv,EmployeeNationalIDAlternateKey
dimemployee.csv,Status
dimemployee.csv,BaseRate
dimemployee.csv,SickLeaveHours
dimemployee.csv,PayFrequency
dimemployee.csv,EmployeePhoto
dimemployee.csv,SalesTerritoryKey
dimemployee.csv,Phone
dimgeography,EnglishCountryRegionName
dimgeography,IpAddressLocator
dimgeography,StateProvinceName
dimgeography,StateProvinceCode
dimgeography,FrenchCountryRegionName
dimgeography,PostalCode
dimgeography,City
dimgeography,SalesTerritoryKey
dimgeography,SpanishCountryRegionName
dimgeography,CountryRegionCode
dimgeography,GeographyKey
dimgeography.csv,EnglishCountryRegionName
dimgeography.csv,SpanishCountryRegionName
dimgeography.csv,SalesTerritoryKey
dimgeography.csv,IpAddressLocator
dimgeography.csv,StateProvinceName
dimgeography.csv,PostalCode
dimgeography.csv,City
dimgeography.csv,GeographyKey
dimgeography.csv,StateProvinceCode
dimgeography.csv,CountryRegionCode
dimgeography.csv,FrenchCountryRegionName
dimorganization,OrganizationKey
dimorganization,ParentOrganizationKey
dimorganization,CurrencyKey
dimorganization,PercentageOfOwnership
dimorganization,OrganizationName
dimorganization.csv,ParentOrganizationKey
dimorganization.csv,CurrencyKey
dimorganization.csv,OrganizationKey
dimorganization.csv,PercentageOfOwnership
dimorganization.csv,OrganizationName
dimproduct,ProductSubcategoryKey
dimproduct,FrenchProductName
dimproduct,Size
dimproduct,DaysToManufacture
dimproduct,ProductKey
dimproduct,ModelName
dimproduct,JapaneseDescription
dimproduct,SpanishProductName
dimproduct,ChineseDescription
dimproduct,StandardCost
dimproduct,Status
dimproduct,FinishedGoodsFlag
dimproduct,LargePhoto
dimproduct,ListPrice
dimproduct,ReorderPoint
dimproduct,TurkishDescription
dimproduct,EnglishDescription
dimproduct,Style
dimproduct,SizeUnitMeasureCode
dimproduct,ThaiDescription
dimproduct,DealerPrice
dimproduct,SizeRange
dimproduct,EnglishProductName
dimproduct,Weight
dimproduct,SafetyStockLevel
dimproduct,ProductLine
dimproduct,StartDate
dimproduct,EndDate
dimproduct,WeightUnitMeasureCode
dimproduct,Color
dimproduct,FrenchDescription
dimproduct,GermanDescription
dimproduct,Class
dimproduct,ProductAlternateKey
dimproduct_part1.csv,StandardCost
dimproduct_part1.csv,ProductAlternateKey
dimproduct_part1.csv,SizeRange
dimproduct_part1.csv,ProductSubcategoryKey
dimproduct_part1.csv,WeightUnitMeasureCode
dimproduct_part1.csv,Weight
dimproduct_part1.csv,Size
dimproduct_part1.csv,TurkishDescription
dimproduct_part1.csv,SpanishProductName
dimproduct_part1.csv,SafetyStockLevel
dimproduct_part1.csv,ReorderPoint
dimproduct_part1.csv,Status
dimproduct_part1.csv,SizeUnitMeasureCode
dimproduct_part1.csv,StartDate
dimproduct_part1.csv,ProductLine
dimproduct_part1.csv,ThaiDescription
dimproduct_part1.csv,Style
dimproduct_part1.csv,ProductKey
dimproduct_part2.csv,FrenchDescription
dimproduct_part2.csv,Class
dimproduct_part2.csv,ID
dimproduct_part2.csv,Color
dimproduct_part2.csv,EndDate
dimproduct_part2.csv,DealerPrice
dimproduct_part2.csv,DaysToManufacture
dimproduct_part2.csv,ChineseDescription
dimproduct_part2.csv,FrenchProductName
dimproduct_part2.csv,FinishedGoodsFlag
dimproduct_part2.csv,EnglishDescription
dimproduct_part2.csv,EnglishProductName
dimproduct_part2.csv,ArabicDescription
dimproduct_part2.csv,ListPrice
dimproduct_part2.csv,ModelName
dimproduct_part2.csv,GermanDescription
dimproduct_part2.csv,LargePhoto
dimproductcategory,ProductCategoryAlternateKey
dimproductcategory,EnglishProductCategoryName
dimproductcategory,SpanishProductCategoryName
dimproductcategory,FrenchProductCategoryName
dimproductcategory,ProductCategoryKey
dimproductcategory.csv,ProductCategoryKey
dimproductcategory.csv,FrenchProductCategoryName
dimproductcategory.csv,SpanishProductCategoryName
dimproductcategory.csv,EnglishProductCategoryName
dimproductcategory.csv,ProductCategoryAlternateKey
dimproductfiltered.csv,AccountCodeAlternateKey
dimpromotion,SpanishPromotionCategory
dimpromotion,FrenchPromotionCategory
dimpromotion,FrenchPromotionName
dimpromotion,MinQty
dimpromotion,StartDate
dimpromotion,EndDate
dimpromotion,PromotionKey
dimpromotion,SpanishPromotionName
dimpromotion,PromotionAlternateKey
dimpromotion,EnglishPromotionCategory
dimpromotion,FrenchPromotionType
dimpromotion,MaxQty
dimpromotion,DiscountPct
dimpromotion,EnglishPromotionType
dimpromotion,SpanishPromotionType
dimpromotion,EnglishPromotionName
dimpromotion.csv,SpanishPromotionCategory
dimpromotion.csv,EnglishPromotionName
dimpromotion.csv,FrenchPromotionCategory
dimpromotion.csv,EnglishPromotionType
dimpromotion.csv,DiscountPct
dimpromotion.csv,FrenchPromotionType
dimpromotion.csv,MaxQty
dimpromotion.csv,EnglishPromotionCategory
dimpromotion.csv,StartDate
dimpromotion.csv,SpanishPromotionType
dimpromotion.csv,SpanishPromotionName
dimpromotion.csv,PromotionAlternateKey
dimpromotion.csv,EndDate
dimpromotion.csv,PromotionKey
dimpromotion.csv,FrenchPromotionName
dimpromotion.csv,MinQty
dimreseller,MinPaymentType
dimreseller,GeographyKey
dimreseller,ResellerKey
dimreseller,AnnualSales
dimreseller,AnnualRevenue
dimreseller,NumberEmployees
dimreseller,LastOrderYear
dimreseller,AddressLine2
dimreseller,BusinessType
dimreseller,ResellerName
dimreseller,ProductLine
dimreseller,Phone
dimreseller,OrderFrequency
dimreseller,BankName
dimreseller,AddressLine1
dimreseller,ResellerAlternateKey
dimreseller,OrderMonth
dimreseller,YearOpened
dimreseller,MinPaymentAmount
dimreseller,FirstOrderYear
dimreseller.csv,ResellerKey
dimreseller.csv,BusinessType
dimreseller.csv,NumberEmployees
dimreseller.csv,BankName
dimreseller.csv,ResellerAlternateKey
dimreseller.csv,OrderMonth
dimreseller.csv,MinPaymentAmount
dimreseller.csv,AnnualSales
dimreseller.csv,FirstOrderYear
dimreseller.csv,Phone
dimreseller.csv,YearOpened
dimreseller.csv,ProductLine
dimreseller.csv,LastOrderYear
dimreseller.csv,AnnualRevenue
dimreseller.csv,MinPaymentType
dimreseller.csv,ResellerName
dimreseller.csv,AddressLine2
dimreseller.csv,OrderFrequency
dimreseller.csv,GeographyKey
dimreseller.csv,AddressLine1
dimsalesreason,SalesReasonKey
dimsalesreason,SalesReasonName
dimsalesreason,SalesReasonAlternateKey
dimsalesreason,SalesReasonReasonType
dimsalesreason.csv,SalesReasonReasonType
dimsalesreason.csv,SalesReasonAlternateKey
dimsalesreason.csv,SalesReasonName
dimsalesreason.csv,SalesReasonKey
dimsalesterritory,SalesTerritoryKey
dimsalesterritory,SalesTerritoryRegion
dimsalesterritory,SalesTerritoryAlternateKey
dimsalesterritory,SalesTerritoryCountry
dimsalesterritory,SalesTerritoryImage
dimsalesterritory,SalesTerritoryGroup
dimsalesterritory.csv,SalesTerritoryGroup
dimsalesterritory.csv,SalesTerritoryRegion
dimsalesterritory.csv,SalesTerritoryCountry
dimsalesterritory.csv,SalesTerritoryKey
dimsalesterritory.csv,SalesTerritoryAlternateKey
dimsalesterritory.csv,SalesTerritoryImage
dimscenario,ScenarioKey
dimscenario,ScenarioName
dimscenario.csv,ScenarioName
dimscenario.csv,ScenarioKey
factadditionalinternationalproductdescription,ProductKey
factadditionalinternationalproductdescription,ProductDescription
factadditionalinternationalproductdescription,CultureName
factadditionalinternationalproductdescription.csv,ProductKey
factadditionalinternationalproductdescription.csv,CultureName
factadditionalinternationalproductdescription.csv,ProductDescription
factcurrencyrate,AverageRate
factcurrencyrate,EndOfDayRate
factcurrencyrate,Date
factcurrencyrate,DateKey
factcurrencyrate,CurrencyKey
factcurrencyrate.csv,Date
factcurrencyrate.csv,EndOfDayRate
factcurrencyrate.csv,DateKey
factcurrencyrate.csv,CurrencyKey
factcurrencyrate.csv,AverageRate
factfinance,AccountKey
factfinance,ScenarioKey
factfinance,DepartmentGroupKey
factfinance,FinanceKey
factfinance,Amount
factfinance,OrganizationKey
factfinance,DateKey
factfinance,Date
factfinance.csv,Date
factfinance.csv,DepartmentGroupKey
factfinance.csv,AccountKey
factfinance.csv,Amount
factfinance.csv,FinanceKey
factfinance.csv,ScenarioKey
factfinance.csv,OrganizationKey
factfinance.csv,DateKey
factinternetsales,ProductKey
factinternetsales,DueDate
factinternetsales,SalesAmount
factinternetsales,Freight
factinternetsales,SalesOrderNumber
factinternetsales,TaxAmt
factinternetsales,OrderDate
factinternetsales,OrderQuantity
factinternetsales,ShipDateKey
factinternetsales,TotalProductCost
factinternetsales,ShipDate
factinternetsales,SalesOrderLineNumber
factinternetsales,PromotionKey
factinternetsales,UnitPriceDiscountPct
factinternetsales,SalesTerritoryKey
factinternetsales,OrderDateKey
factinternetsales,CarrierTrackingNumber
factinternetsales,CurrencyKey
factinternetsales,UnitPrice
factinternetsales,DueDateKey
factinternetsales,CustomerKey
factinternetsales,RevisionNumber
factinternetsales,DiscountAmount
factinternetsales,CustomerPONumber
factinternetsales,ExtendedAmount
factinternetsales,ProductStandardCost
factinternetsalesreason,SalesOrderLineNumber
factinternetsalesreason,SalesOrderNumber
factinternetsalesreason,SalesReasonKey
factinternetsalesreason.csv,SalesOrderLineNumber
factinternetsalesreason.csv,SalesReasonKey
factinternetsalesreason.csv,SalesOrderNumber
factproductinventory,MovementDate
factproductinventory,UnitsOut
factproductinventory,ProductKey
factproductinventory,DateKey
factproductinventory,UnitCost
factproductinventory,UnitsBalance
factproductinventory,UnitsIn
factproductinventory.csv,DateKey
factproductinventory.csv,ProductKey
factproductinventory.csv,UnitCost
factproductinventory.csv,UnitsIn
factproductinventory.csv,MovementDate
factproductinventory.csv,UnitsOut
factproductinventory.csv,UnitsBalance
factresellersales,OrderDate
factresellersales,ProductStandardCost
factresellersales,CustomerPONumber
factresellersales,ShipDate
factresellersales,TaxAmt
factresellersales,DueDate
factresellersales,DueDateKey
factresellersales,ExtendedAmount
factresellersales,SalesOrderNumber
factresellersales,UnitPrice
factresellersales,SalesAmount
factresellersales,RevisionNumber
factresellersales,DiscountAmount
factresellersales,ProductKey
factresellersales,ResellerKey
factresellersales,PromotionKey
factresellersales,OrderDateKey
factresellersales,Freight
factresellersales,TotalProductCost
factresellersales,CarrierTrackingNumber
factresellersales,EmployeeKey
factresellersales,UnitPriceDiscountPct
factresellersales,ShipDateKey
factresellersales,SalesOrderLineNumber
factresellersales,OrderQuantity
factresellersales,SalesTerritoryKey
factresellersales,CurrencyKey
factresellersales.csv,SalesTerritoryKey
factresellersales.csv,CarrierTrackingNumber
factresellersales.csv,SalesOrderLineNumber
factresellersales.csv,TaxAmt
factresellersales.csv,DueDateKey
factresellersales.csv,CurrencyKey
factresellersales.csv,SalesOrderNumber
factresellersales.csv,Freight
factresellersales.csv,TotalProductCost
factresellersales.csv,DiscountAmount
factresellersales.csv,OrderQuantity
factresellersales.csv,ProductStandardCost
factresellersales.csv,CustomerPONumber
factresellersales.csv,PromotionKey
factresellersales.csv,UnitPriceDiscountPct
factresellersales.csv,ExtendedAmount
factresellersales.csv,ShipDateKey
factresellersales.csv,ResellerKey
factresellersales.csv,RevisionNumber
factresellersales.csv,OrderDateKey
factresellersales.csv,ShipDate
factresellersales.csv,EmployeeKey
factresellersales.csv,OrderDate
factresellersales.csv,SalesAmount
factresellersales.csv,ProductKey
factresellersales.csv,DueDate
factresellersales.csv,UnitPrice
factsalesquota,DateKey
factsalesquota,CalendarQuarter
factsalesquota,CalendarYear
factsalesquota,SalesQuotaKey
factsalesquota,EmployeeKey
factsalesquota,Date
factsalesquota,SalesAmountQuota
factsalesquota.csv,Date
factsalesquota.csv,DateKey
factsalesquota.csv,CalendarQuarter
factsalesquota.csv,EmployeeKey
factsalesquota.csv,CalendarYear
factsalesquota.csv,SalesAmountQuota
factsalesquota.csv,SalesQuotaKey
factsurveyresponse,Date
factsurveyresponse,DateKey
factsurveyresponse.csv,DateKey
factsurveyresponse.csv,Date
internetsalesdatafeed,ProductStandardCost
internetsalesdatafeed,PromotionKey
internetsalesdatafeed,CustomerPONumber
internetsalesdatafeed,ShipDateKey
internetsalesdatafeed,CustomerKey
internetsalesdatafeed,ShipDate
internetsalesdatafeed,ProductKey
internetsalesdatafeed,SalesTerritoryKey
internetsalesdatafeed,RevisionNumber
internetsalesdatafeed,SalesOrderLineNumber
internetsalesdatafeed,CarrierTrackingNumber
internetsalesdatafeed,CurrencyKey
internetsalesdatafeed,DueDateKey
internetsalesdatafeed,Freight
internetsalesdatafeed,SalesAmount
internetsalesdatafeed,SalesOrderNumber
internetsalesdatafeed,TotalProductCost
internetsalesdatafeed,TaxAmt
internetsalesdatafeed,DueDate
internetsalesorderdetailsfeed,OrderDateKey
internetsalesorderdetailsfeed,OrderQuantity
internetsalesorderdetailsfeed,OrderDate
productpricesdetailsfeed,ExtendedAmount
productpricesdetailsfeed,UnitPrice
productpricesdetailsfeed,UnitPriceDiscountPct
productpricesdetailsfeed,DiscountAmount
